,Unnamed: 0,traveler_id,age,occupation,income,flexibility,trip_purpose,departure_location,arrival_location,origin_gps,destination_gps,trip_distance_miles,trip_duration_minutes,departure_time_window,arrival_time_window,flexibility_pickup_earlier,flexibility_dropoff_later,origin_h3,destination_h3
10,10,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",school,home,university,"[37.7516, -122.4482]","[37.7793, -122.4193]",3.5,20,10:00-10:30,10:20-10:50,0,10,87283082dffffff,872830828ffffff
11,11,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",recreation,university,Golden Gate Park,"[37.7793, -122.4193]","[37.7694, -122.4862]",4.5,25,16:00-16:30,16:25-16:55,10,30,872830828ffffff,87283095bffffff
12,12,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",work,home,SoMa,"[37.7516, -122.4482]","[37.7786, -122.414]",3.8,20,07:00-07:30,07:20-07:50,0,10,87283082dffffff,872830828ffffff
13,13,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",shopping,SoMa,Stonestown Galleria,"[37.7786, -122.414]","[37.73, -122.475]",6.0,25,18:00-18:30,18:25-18:55,10,30,872830828ffffff,872830951ffffff
14,14,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",hiking,home,Presidio,"[37.7516, -122.4482]","[37.7989, -122.4662]",4.8,25,09:00-09:30,09:25-09:55,10,30,87283082dffffff,872830874ffffff
15,15,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",school,Presidio,university,"[37.7989, -122.4662]","[37.7793, -122.4193]",3.5,20,13:00-13:30,13:20-13:50,0,10,872830874ffffff,872830828ffffff
16,16,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",work,home,Financial District,"[37.7516, -122.4482]","[37.7946, -122.3999]",5.0,30,06:30-07:00,07:00-07:30,0,10,87283082dffffff,87283082affffff
17,17,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",recreation,Financial District,Golden Gate Park,"[37.7946, -122.3999]","[37.7694, -122.4862]",5.2,30,17:00-17:30,17:30-18:00,10,30,87283082affffff,87283095bffffff
18,18,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",school,home,university,"[37.7516, -122.4482]","[37.7793, -122.4193]",3.5,20,11:00-11:30,11:20-11:50,0,10,87283082dffffff,872830828ffffff
19,19,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",shopping,university,Union Square,"[37.7793, -122.4193]","[37.788, -122.4075]",1.2,10,13:00-13:30,13:10-13:40,10,30,872830828ffffff,87283082affffff
20,20,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",hiking,Union Square,Lands End,"[37.788, -122.4075]","[37.7802, -122.5117]",6.8,35,09:30-10:00,10:05-10:35,10,30,87283082affffff,872830866ffffff
21,21,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",work,home,SoMa,"[37.7516, -122.4482]","[37.7786, -122.414]",3.8,20,08:30-09:00,08:50-09:20,0,10,87283082dffffff,872830828ffffff
22,22,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",shopping,SoMa,Stonestown Galleria,"[37.7786, -122.414]","[37.73, -122.475]",6.0,25,14:00-14:30,14:25-14:55,10,30,872830828ffffff,872830951ffffff
23,23,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",school,home,university,"[37.7516, -122.4482]","[37.7793, -122.4193]",3.5,20,10:30-11:00,10:50-11:20,0,10,87283082dffffff,872830828ffffff
24,24,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",recreation,university,Presidio,"[37.7793, -122.4193]","[37.7989, -122.4662]",3.8,20,16:30-17:00,16:50-17:20,10,30,872830828ffffff,872830874ffffff
25,25,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",work,home,Financial District,"[37.7516, -122.4482]","[37.7946, -122.3999]",5.0,30,08:00-08:30,08:30-09:00,0,10,87283082dffffff,87283082affffff
26,26,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",shopping,Financial District,Union Square,"[37.7946, -122.3999]","[37.788, -122.4075]",0.7,5,11:30-12:00,11:35-12:05,10,30,87283082affffff,87283082affffff
27,27,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",school,Union Square,university,"[37.788, -122.4075]","[37.7793, -122.4193]",1.1,10,13:30-14:00,13:40-14:10,0,10,87283082affffff,872830828ffffff
28,28,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",recreation,university,Lands End,"[37.7793, -122.4193]","[37.7802, -122.5117]",5.5,30,17:30-18:00,18:00-18:30,10,30,872830828ffffff,872830866ffffff
29,29,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",work,home,SoMa,"[37.7516, -122.4482]","[37.7786, -122.414]",3.8,20,09:30-10:00,09:50-10:20,0,10,87283082dffffff,872830828ffffff
30,30,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",shopping,SoMa,Stonestown Galleria,"[37.7786, -122.414]","[37.73, -122.475]",6.0,25,15:30-16:00,15:55-16:25,10,30,872830828ffffff,872830951ffffff
31,31,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",school,home,university,"[37.7516, -122.4482]","[37.7793, -122.4193]",3.5,20,07:00-07:30,07:20-07:50,0,10,87283082dffffff,872830828ffffff
32,32,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",recreation,university,Golden Gate Park,"[37.7793, -122.4193]","[37.7694, -122.4862]",4.5,25,14:30-15:00,14:55-15:25,10,30,872830828ffffff,87283095bffffff
33,33,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",work,home,Financial District,"[37.7516, -122.4482]","[37.7946, -122.3999]",5.0,30,08:30-09:00,09:00-09:30,0,10,87283082dffffff,87283082affffff
34,34,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",shopping,Financial District,Union Square,"[37.7946, -122.3999]","[37.788, -122.4075]",0.7,5,12:30-13:00,12:35-13:05,10,30,87283082affffff,87283082affffff
35,35,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",school,Union Square,university,"[37.788, -122.4075]","[37.7793, -122.4193]",1.1,10,14:30-15:00,14:40-15:10,0,10,87283082affffff,872830828ffffff
36,36,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",recreation,university,Presidio,"[37.7793, -122.4193]","[37.7989, -122.4662]",3.8,20,18:30-19:00,18:50-19:20,10,30,872830828ffffff,872830874ffffff
37,37,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",work,home,SoMa,"[37.7516, -122.4482]","[37.7786, -122.414]",3.8,20,10:30-11:00,10:50-11:20,0,10,87283082dffffff,872830828ffffff
38,38,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",shopping,SoMa,Stonestown Galleria,"[37.7786, -122.414]","[37.73, -122.475]",6.0,25,16:30-17:00,16:55-17:25,10,30,872830828ffffff,872830951ffffff
39,39,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",school,home,university,"[37.7516, -122.4482]","[37.7793, -122.4193]",3.5,20,09:00-09:30,09:20-09:50,0,10,87283082dffffff,872830828ffffff
40,40,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",recreation,university,Golden Gate Park,"[37.7793, -122.4193]","[37.7694, -122.4862]",4.5,25,15:30-16:00,15:55-16:25,10,30,872830828ffffff,87283095bffffff
41,41,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",work,home,Financial District,"[37.7516, -122.4482]","[37.7946, -122.3999]",5.0,30,07:30-08:00,08:00-08:30,0,10,87283082dffffff,87283082affffff
42,42,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",shopping,Financial District,Union Square,"[37.7946, -122.3999]","[37.788, -122.4075]",0.7,5,14:30-15:00,14:35-15:05,10,30,87283082affffff,87283082affffff
43,43,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",school,Union Square,university,"[37.788, -122.4075]","[37.7793, -122.4193]",1.1,10,16:30-17:00,16:40-17:10,0,10,87283082affffff,872830828ffffff
44,44,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",recreation,university,Presidio,"[37.7793, -122.4193]","[37.7989, -122.4662]",3.8,20,19:30-20:00,19:50-20:20,10,30,872830828ffffff,872830874ffffff
45,45,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",work,home,SoMa,"[37.7516, -122.4482]","[37.7786, -122.414]",3.8,20,11:30-12:00,11:50-12:20,0,10,87283082dffffff,872830828ffffff
46,46,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",shopping,SoMa,Stonestown Galleria,"[37.7786, -122.414]","[37.73, -122.475]",6.0,25,17:30-18:00,17:55-18:25,10,30,872830828ffffff,872830951ffffff
47,47,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",school,home,university,"[37.7516, -122.4482]","[37.7793, -122.4193]",3.5,20,08:00-08:30,08:20-08:50,0,10,87283082dffffff,872830828ffffff
48,48,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",recreation,university,Golden Gate Park,"[37.7793, -122.4193]","[37.7694, -122.4862]",4.5,25,16:30-17:00,16:55-17:25,10,30,872830828ffffff,87283095bffffff
49,49,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",work,home,Financial District,"[37.7516, -122.4482]","[37.7946, -122.3999]",5.0,30,09:00-09:30,09:30-10:00,0,10,87283082dffffff,87283082affffff
50,50,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",shopping,Financial District,Union Square,"[37.7946, -122.3999]","[37.788, -122.4075]",0.7,5,15:30-16:00,15:35-16:05,10,30,87283082affffff,87283082affffff
51,51,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",school,Union Square,university,"[37.788, -122.4075]","[37.7793, -122.4193]",1.1,10,17:30-18:00,17:40-18:10,0,10,87283082affffff,872830828ffffff
52,52,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",recreation,university,Lands End,"[37.7793, -122.4193]","[37.7802, -122.5117]",5.5,30,19:30-20:00,20:00-20:30,10,30,872830828ffffff,872830866ffffff
53,53,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",work,home,SoMa,"[37.7516, -122.4482]","[37.7786, -122.414]",3.8,20,12:30-13:00,12:50-13:20,0,10,87283082dffffff,872830828ffffff
54,54,1,18-25,student,$50K - $75K,"flexible for late dropoff, but inflexible for early pickup",shopping,SoMa,Stonestown Galleria,"[37.7786, -122.414]","[37.73, -122.475]",6.0,25,18:30-19:00,18:55-19:25,10,30,872830828ffffff,872830951ffffff
55,55,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",recreation,home,Golden Gate Park,"[37.749, -122.4339]","[37.7694, -122.4862]",3.5,15,09:00-09:30,09:15-09:45,30,15,872830953ffffff,87283095bffffff
56,56,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",shopping,home,Union Square,"[37.749, -122.4339]","[37.7881, -122.4075]",4.0,20,11:00-11:30,11:20-11:50,20,10,872830953ffffff,87283082affffff
57,57,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",hiking,home,Lands End,"[37.749, -122.4339]","[37.7802, -122.5132]",5.5,25,07:00-07:30,07:25-07:55,30,20,872830953ffffff,872830866ffffff
58,58,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",work,home,Financial District,"[37.749, -122.4339]","[37.7941, -122.4078]",4.5,25,08:00-08:30,08:25-08:55,0,0,872830953ffffff,87283082bffffff
59,59,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",recreation,home,Presidio,"[37.749, -122.4339]","[37.7989, -122.4662]",4.2,20,10:00-10:30,10:20-10:50,30,15,872830953ffffff,872830874ffffff
60,60,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",shopping,home,Stonestown Galleria,"[37.749, -122.4339]","[37.728, -122.475]",3.5,15,13:00-13:30,13:15-13:45,20,10,872830953ffffff,872830951ffffff
61,61,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",recreation,home,Dolores Park,"[37.749, -122.4339]","[37.7596, -122.4269]",1.5,10,15:00-15:30,15:10-15:40,30,15,872830953ffffff,87283082cffffff
62,62,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",work,home,SoMa,"[37.749, -122.4339]","[37.7786, -122.4184]",3.0,20,07:30-08:00,07:50-08:20,0,0,872830953ffffff,872830828ffffff
63,63,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",recreation,home,Crissy Field,"[37.749, -122.4339]","[37.8043, -122.4662]",5.0,25,12:00-12:30,12:25-12:55,30,20,872830953ffffff,872830870ffffff
64,64,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",shopping,home,Chinatown,"[37.749, -122.4339]","[37.7941, -122.4078]",4.5,25,14:00-14:30,14:25-14:55,20,10,872830953ffffff,87283082bffffff
65,65,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",hiking,home,Twin Peaks,"[37.749, -122.4339]","[37.7544, -122.4477]",1.8,10,06:30-07:00,06:40-07:10,30,20,872830953ffffff,87283082dffffff
66,66,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",shopping,home,Westfield San Francisco Centre,"[37.749, -122.4339]","[37.7844, -122.4078]",4.0,20,16:00-16:30,16:20-16:50,20,10,872830953ffffff,87283082affffff
67,67,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",recreation,home,Mission Dolores Park,"[37.749, -122.4339]","[37.7596, -122.4269]",1.5,10,18:00-18:30,18:10-18:40,30,15,872830953ffffff,87283082cffffff
68,68,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",work,home,Financial District,"[37.749, -122.4339]","[37.7941, -122.4078]",4.5,25,07:00-07:30,07:25-07:55,0,0,872830953ffffff,87283082bffffff
69,69,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",hiking,home,Mount Sutro,"[37.749, -122.4339]","[37.7599, -122.4505]",2.0,15,09:30-10:00,09:45-10:15,30,20,872830953ffffff,87283082dffffff
70,70,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",recreation,home,Baker Beach,"[37.749, -122.4339]","[37.7936, -122.4835]",5.0,25,11:00-11:30,11:25-11:55,30,15,872830953ffffff,872830875ffffff
71,71,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",shopping,home,Haight Street,"[37.749, -122.4339]","[37.7693, -122.448]",2.5,15,13:30-14:00,13:45-14:15,20,10,872830953ffffff,87283082dffffff
72,72,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",recreation,home,Ocean Beach,"[37.749, -122.4339]","[37.7597, -122.5105]",5.5,25,10:30-11:00,10:55-11:25,30,15,872830953ffffff,872830959ffffff
73,73,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",shopping,home,Fillmore Street,"[37.749, -122.4339]","[37.7879, -122.4331]",3.0,20,12:00-12:30,12:20-12:50,20,10,872830953ffffff,872830829ffffff
74,74,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",hiking,home,Glen Canyon Park,"[37.749, -122.4339]","[37.7334, -122.4395]",2.5,15,08:00-08:30,08:15-08:45,30,20,872830953ffffff,872830953ffffff
75,75,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",recreation,home,Alamo Square,"[37.749, -122.4339]","[37.7764, -122.4346]",2.0,10,14:00-14:30,14:10-14:40,30,15,872830953ffffff,872830829ffffff
76,76,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",shopping,home,Japantown,"[37.749, -122.4339]","[37.7855, -122.4292]",2.5,15,15:00-15:30,15:15-15:45,20,10,872830953ffffff,872830829ffffff
77,77,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",recreation,home,Aquatic Park,"[37.749, -122.4339]","[37.8067, -122.423]",4.5,25,16:30-17:00,16:55-17:25,30,15,872830953ffffff,87283082bffffff
78,78,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",hiking,home,Bernal Heights Park,"[37.749, -122.4339]","[37.7435, -122.413]",2.0,10,08:30-09:00,08:40-09:10,30,20,872830953ffffff,87283082cffffff
79,79,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",shopping,home,Mission District,"[37.749, -122.4339]","[37.7595, -122.4148]",2.0,10,17:00-17:30,17:10-17:40,20,10,872830953ffffff,87283082cffffff
80,80,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",recreation,home,Yerba Buena Gardens,"[37.749, -122.4339]","[37.7858, -122.403]",4.0,20,19:00-19:30,19:20-19:50,30,15,872830953ffffff,87283082affffff
81,81,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",hiking,home,Mount Davidson,"[37.749, -122.4339]","[37.7384, -122.4547]",3.0,15,07:30-08:00,07:45-08:15,30,20,872830953ffffff,872830953ffffff
82,82,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",shopping,home,Castro District,"[37.749, -122.4339]","[37.7609, -122.435]",1.5,10,18:30-19:00,18:40-19:10,20,10,872830953ffffff,87283082dffffff
83,83,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",recreation,home,Sutro Baths,"[37.749, -122.4339]","[37.7793, -122.5138]",5.5,25,09:00-09:30,09:25-09:55,30,15,872830953ffffff,872830866ffffff
84,84,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",hiking,home,Corona Heights Park,"[37.749, -122.4339]","[37.7641, -122.4391]",1.5,10,06:00-06:30,06:10-06:40,30,20,872830953ffffff,87283082dffffff
85,85,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",shopping,home,Ferry Building,"[37.749, -122.4339]","[37.7955, -122.3937]",5.0,25,11:30-12:00,11:55-12:25,20,10,872830953ffffff,87283082affffff
86,86,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",recreation,home,Fort Mason,"[37.749, -122.4339]","[37.8065, -122.4316]",4.5,25,10:00-10:30,10:25-10:55,30,15,872830953ffffff,872830876ffffff
87,87,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",hiking,home,Fort Funston,"[37.749, -122.4339]","[37.7086, -122.5011]",6.0,30,07:00-07:30,07:30-08:00,30,20,872830953ffffff,872830942ffffff
88,88,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",shopping,home,Union Square,"[37.749, -122.4339]","[37.7881, -122.4075]",4.0,20,13:00-13:30,13:20-13:50,20,10,872830953ffffff,87283082affffff
89,89,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",recreation,home,Golden Gate Park,"[37.749, -122.4339]","[37.7694, -122.4862]",3.5,15,14:30-15:00,14:45-15:15,30,15,872830953ffffff,87283095bffffff
90,90,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",hiking,home,Lands End,"[37.749, -122.4339]","[37.7802, -122.5132]",5.5,25,08:30-09:00,08:55-09:25,30,20,872830953ffffff,872830866ffffff
91,91,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",shopping,home,Stonestown Galleria,"[37.749, -122.4339]","[37.728, -122.475]",3.5,15,16:30-17:00,16:45-17:15,20,10,872830953ffffff,872830951ffffff
92,92,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",recreation,home,Presidio,"[37.749, -122.4339]","[37.7989, -122.4662]",4.2,20,09:30-10:00,09:50-10:20,30,15,872830953ffffff,872830874ffffff
93,93,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",hiking,home,Twin Peaks,"[37.749, -122.4339]","[37.7544, -122.4477]",1.8,10,07:00-07:30,07:10-07:40,30,20,872830953ffffff,87283082dffffff
94,94,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",shopping,home,Westfield San Francisco Centre,"[37.749, -122.4339]","[37.7844, -122.4078]",4.0,20,10:00-10:30,10:20-10:50,20,10,872830953ffffff,87283082affffff
95,95,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",recreation,home,Dolores Park,"[37.749, -122.4339]","[37.7596, -122.4269]",1.5,10,11:30-12:00,11:40-12:10,30,15,872830953ffffff,87283082cffffff
96,96,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",hiking,home,Mount Sutro,"[37.749, -122.4339]","[37.7599, -122.4505]",2.0,15,08:00-08:30,08:15-08:45,30,20,872830953ffffff,87283082dffffff
97,97,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",shopping,home,Chinatown,"[37.749, -122.4339]","[37.7941, -122.4078]",4.5,25,13:30-14:00,13:55-14:25,20,10,872830953ffffff,87283082bffffff
98,98,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",recreation,home,Baker Beach,"[37.749, -122.4339]","[37.7936, -122.4835]",5.0,25,09:00-09:30,09:25-09:55,30,15,872830953ffffff,872830875ffffff
99,99,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",hiking,home,Glen Canyon Park,"[37.749, -122.4339]","[37.7334, -122.4395]",2.5,15,07:30-08:00,07:45-08:15,30,20,872830953ffffff,872830953ffffff
100,100,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",shopping,home,Haight Street,"[37.749, -122.4339]","[37.7693, -122.448]",2.5,15,15:30-16:00,15:45-16:15,20,10,872830953ffffff,87283082dffffff
101,101,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",recreation,home,Ocean Beach,"[37.749, -122.4339]","[37.7597, -122.5105]",5.5,25,17:00-17:30,17:25-17:55,30,15,872830953ffffff,872830959ffffff
102,102,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",hiking,home,Mount Davidson,"[37.749, -122.4339]","[37.7384, -122.4547]",3.0,15,08:00-08:30,08:15-08:45,30,20,872830953ffffff,872830953ffffff
103,103,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",shopping,home,Fillmore Street,"[37.749, -122.4339]","[37.7879, -122.4331]",3.0,20,11:00-11:30,11:20-11:50,20,10,872830953ffffff,872830829ffffff
104,104,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",recreation,home,Alamo Square,"[37.749, -122.4339]","[37.7764, -122.4346]",2.0,10,18:30-19:00,18:40-19:10,30,15,872830953ffffff,872830829ffffff
105,105,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",hiking,home,Bernal Heights Park,"[37.749, -122.4339]","[37.7435, -122.413]",2.0,10,06:00-06:30,06:10-06:40,30,20,872830953ffffff,87283082cffffff
106,106,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",shopping,home,Castro District,"[37.749, -122.4339]","[37.7609, -122.435]",1.5,10,12:30-13:00,12:40-13:10,20,10,872830953ffffff,87283082dffffff
107,107,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",recreation,home,Crissy Field,"[37.749, -122.4339]","[37.8043, -122.4662]",5.0,25,09:30-10:00,09:55-10:25,30,15,872830953ffffff,872830870ffffff
108,108,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",hiking,home,Corona Heights Park,"[37.749, -122.4339]","[37.7641, -122.4391]",1.5,10,07:00-07:30,07:10-07:40,30,20,872830953ffffff,87283082dffffff
109,109,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",shopping,home,Ferry Building,"[37.749, -122.4339]","[37.7955, -122.3937]",5.0,25,10:00-10:30,10:25-10:55,20,10,872830953ffffff,87283082affffff
110,110,2,18-25,unemployed,$50K - $75K,"flexible for early pickup, but inflexible for late dropoff",recreation,home,Fort Mason,"[37.749, -122.4339]","[37.8065, -122.4316]",4.5,25,11:00-11:30,11:25-11:55,30,15,872830953ffffff,872830876ffffff
